example_id,query,action,crime_type,area,time_window,language
AG-03057,Show Child Offences hotspots around Malleshwaram this week,show_hotspots,Child Offences,Malleshwaram,this_week,en
AG-06994,ಕೋರಮಂಗಲ ಪ್ರದೇಶದ ಕೋಮು ಅಪರಾಧ ಹಾಟ್‌ಸ್ಪಾಟ್ ಸಾಕ್ಷ್ಯವನ್ನು ಕಳೆದ ತಿಂಗಳು ವಿಶ್ಲೇಷಿಸಿ,show_hotspots,Communal Offences,Koramangala,last_month,kn
AG-07995,Which high-risk areas near Yelahanka have Robbery & Dacoity ?,show_hotspots,Robbery & Dacoity,Yelahanka,all,en
AG-09427,Find FIR records for Narcotics near Rajajinagar in the last 30 days,search_cases,Narcotics,Rajajinagar,last_30_days,en
AG-08330,ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆ ಸಮೀಪದ ಆಸ್ತಿ ಕಳ್ಳತನ ಎಫ್‌ಐಆರ್ ದಾಖಲೆಗಳನ್ನು ಇಂದು ಹುಡುಕಿ,search_cases,Property Theft,Bannerghatta Road,today,kn
AG-02265,Which high-risk areas near Yeshwantpur have Land Disputes this week?,show_hotspots,Land Disputes,Yeshwantpur,this_week,en
AG-05450,ಮಲ್ಲೇಶ್ವರಂ ಪ್ರದೇಶದ ಭೂ ವಿವಾದ ವರದಿಗಳನ್ನು ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ಹುಡುಕಿ,search_cases,Land Disputes,Malleshwaram,last_30_days,kn
AG-04078,ಸಿಲ್ಕ್ ಬೋರ್ಡ್ ಪ್ರದೇಶದ ದರೋಡೆ ಮತ್ತು ಡಕಾಯಿತಿ ಹಾಟ್‌ಸ್ಪಾಟ್ ಸಾಕ್ಷ್ಯವನ್ನು ಇಂದು ವಿಶ್ಲೇಷಿಸಿ,show_hotspots,Robbery & Dacoity,Silk Board,today,kn
AG-03534,ಯಲಹಂಕ ಪ್ರದೇಶದ ಕೊಲೆ ಪ್ರಕರಣಗಳನ್ನು ಸಂಪರ್ಕಿಸುವ ಪುನರಾವರ್ತಿತ ಆರೋಪಿಗಳು ಯಾರು?,investigate_network,Murder,Yelahanka,all,kn
AG-08818,ಸಿಲ್ಕ್ ಬೋರ್ಡ್ ಪ್ರದೇಶದ ವಾಹನ ಕಳ್ಳತನ ಹಾಟ್‌ಸ್ಪಾಟ್ ಸಾಕ್ಷ್ಯವನ್ನು ಈ ವಾರ ವಿಶ್ಲೇಷಿಸಿ,show_hotspots,Vehicle Theft,Silk Board,this_week,kn
AG-04203,Which high-risk areas near Electronic City have Vehicle Theft last month?,show_hotspots,Vehicle Theft,Electronic City,last_month,en
AG-07015,Find FIR records for Cyber Crime near Whitefield last month,search_cases,Cyber Crime,Whitefield,last_month,en
AG-00712,ಮಾರತಹಳ್ಳಿ ಸಮೀಪ ಈ ವರ್ಷ ಭೂ ವಿವಾದ ಹೆಚ್ಚಿನ ಅಪಾಯದ ಪ್ರದೇಶಗಳು ಯಾವುವು?,show_hotspots,Land Disputes,Marathahalli,this_year,kn
AG-02711,Find repeat accused links for Unlawful Assembly in Hebbal,investigate_network,Unlawful Assembly,Hebbal,all,en
AG-08993,Show the accused and FIR network for Narcotics at Electronic City last month,investigate_network,Narcotics,Electronic City,last_month,en
AG-08138,ಆರ್‌ಟಿ ನಗರದಲ್ಲಿ ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ನಡೆದ ಭೂ ವಿವಾದ ಪ್ರಕರಣಗಳನ್ನು ತೋರಿಸಿ,search_cases,Land Disputes,RT Nagar,last_30_days,kn
AG-02314,ಹೆಬ್ಬಾಳ ಸಮೀಪ ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ಮಕ್ಕಳ ವಿರುದ್ಧದ ಅಪರಾಧ ಹೆಚ್ಚಿನ ಅಪಾಯದ ಪ್ರದೇಶಗಳು ಯಾವುವು?,show_hotspots,Child Offences,Hebbal,last_30_days,kn
AG-09946,ಇಂದಿರಾನಗರ ಸಮೀಪ ವಾಹನ ಕಳ್ಳತನ ಹೆಚ್ಚಿನ ಅಪಾಯದ ಪ್ರದೇಶಗಳು ಯಾವುವು?,show_hotspots,Vehicle Theft,Indiranagar,all,kn
AG-02144,ಯಶವಂತಪುರದಲ್ಲಿ ಈ ವಾರ ನಡೆದ ಕಾನೂನುಬಾಹಿರ ಸಭೆ ಪ್ರಕರಣಗಳನ್ನು ತೋರಿಸಿ,search_cases,Unlawful Assembly,Yeshwantpur,this_week,kn
AG-00748,ಇಂದಿರಾನಗರ ಸುತ್ತಮುತ್ತ ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ಭೂ ವಿವಾದ ಹಾಟ್‌ಸ್ಪಾಟ್‌ಗಳನ್ನು ತೋರಿಸಿ,show_hotspots,Land Disputes,Indiranagar,last_30_days,kn
AG-05623,Show Narcotics cases in Mysuru Road in the last 30 days,search_cases,Narcotics,Mysuru Road,last_30_days,en
AG-00664,ಯಶವಂತಪುರ ಸುತ್ತಮುತ್ತ ಕೌಟುಂಬಿಕ ಹಿಂಸಾಚಾರ ಹಾಟ್‌ಸ್ಪಾಟ್‌ಗಳನ್ನು ತೋರಿಸಿ,show_hotspots,Domestic Violence,Yeshwantpur,all,kn
AG-09481,How many Domestic Violence incidents occurred at MG Road this year?,search_cases,Domestic Violence,MG Road,this_year,en
AG-04472,ಯಲಹಂಕ ಪ್ರದೇಶದ ಆಸ್ತಿ ಕಳ್ಳತನ ವರದಿಗಳನ್ನು ಈ ವರ್ಷ ಹುಡುಕಿ,search_cases,Property Theft,Yelahanka,this_year,kn
AG-02619,Which high-risk areas near Electronic City have Assault & Violence in the last 30 days?,show_hotspots,Assault & Violence,Electronic City,last_30_days,en
AG-08703,Analyze hotspot evidence for Cyber Crime at Yeshwantpur last month,show_hotspots,Cyber Crime,Yeshwantpur,last_month,en
AG-05011,Show Eve Teasing cases in Koramangala today,search_cases,Eve Teasing,Koramangala,today,en
AG-08495,Which repeat offenders connect Robbery & Dacoity cases in BTM Layout last month?,investigate_network,Robbery & Dacoity,BTM Layout,last_month,en
AG-02457,Which high-risk areas near Bannerghatta Road have Property Theft today?,show_hotspots,Property Theft,Bannerghatta Road,today,en
AG-04810,ಬಿಟಿಎಂ ಲೇಔಟ್ ಪ್ರದೇಶದ ಕಾಣೆಯಾದ ವ್ಯಕ್ತಿಗಳು ಹಾಟ್‌ಸ್ಪಾಟ್ ಸಾಕ್ಷ್ಯವನ್ನು ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ವಿಶ್ಲೇಷಿಸಿ,show_hotspots,Missing Persons,BTM Layout,last_30_days,kn
AG-05642,ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆ ಸಮೀಪದ ಕೌಟುಂಬಿಕ ಹಿಂಸಾಚಾರ ಎಫ್‌ಐಆರ್ ದಾಖಲೆಗಳನ್ನು ಈ ವಾರ ಹುಡುಕಿ,search_cases,Domestic Violence,Bannerghatta Road,this_week,kn
AG-04356,ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆ ಪ್ರದೇಶದ ಕಾಣೆಯಾದ ವ್ಯಕ್ತಿಗಳು ಪ್ರಕರಣಗಳನ್ನು ಸಂಪರ್ಕಿಸುವ ಪುನರಾವರ್ತಿತ ಆರೋಪಿಗಳು ಯಾರು?,investigate_network,Missing Persons,Bannerghatta Road,last_month,kn
AG-01356,ಬಿಟಿಎಂ ಲೇಔಟ್ ಸಮೀಪದ ಮಾದಕ ವಸ್ತು ಅಪರಾಧ ಪ್ರಕರಣಗಳ ಸಂಪರ್ಕಿತ ಶಂಕಿತರನ್ನು ಪರಿಶೀಲಿಸಿ,investigate_network,Narcotics,BTM Layout,all,kn
AG-05979,Analyze hotspot evidence for Narcotics at Silk Board this year,show_hotspots,Narcotics,Silk Board,this_year,en
AG-02398,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಸಿಟಿ ಪ್ರದೇಶದ ಸೈಬರ್ ಅಪರಾಧ ಹಾಟ್‌ಸ್ಪಾಟ್ ಸಾಕ್ಷ್ಯವನ್ನು ವಿಶ್ಲೇಷಿಸಿ,show_hotspots,Cyber Crime,Electronic City,all,kn
AG-05781,Analyze hotspot evidence for Unlawful Assembly at Hebbal this year,show_hotspots,Unlawful Assembly,Hebbal,this_year,en
AG-08710,ಜಯನಗರ ಸುತ್ತಮುತ್ತ ಕಳೆದ ತಿಂಗಳು ಕೊಲೆ ಹಾಟ್‌ಸ್ಪಾಟ್‌ಗಳನ್ನು ತೋರಿಸಿ,show_hotspots,Murder,Jayanagar,last_month,kn
AG-02455,How many Missing Persons incidents occurred at RT Nagar this year?,search_cases,Missing Persons,RT Nagar,this_year,en
AG-01677,Which high-risk areas near HSR Layout have Unlawful Assembly this year?,show_hotspots,Unlawful Assembly,HSR Layout,this_year,en
AG-08506,ಕೋರಮಂಗಲ ಸುತ್ತಮುತ್ತ ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ಆಸ್ತಿ ಕಳ್ಳತನ ಹಾಟ್‌ಸ್ಪಾಟ್‌ಗಳನ್ನು ತೋರಿಸಿ,show_hotspots,Property Theft,Koramangala,last_30_days,kn
AG-02503,How many Unlawful Assembly incidents occurred at Basavanagudi today?,search_cases,Unlawful Assembly,Basavanagudi,today,en
AG-04399,Find FIR records for Vehicle Theft near Jayanagar in the last 30 days,search_cases,Vehicle Theft,Jayanagar,last_30_days,en
AG-09871,Show Domestic Violence cases in Rajajinagar this week,search_cases,Domestic Violence,Rajajinagar,this_week,en
AG-06693,Map danger zones for Child Offences in Silk Board in the last 30 days,show_hotspots,Child Offences,Silk Board,last_30_days,en
AG-08104,ಕೆಆರ್ ಮಾರ್ಕೆಟ್ ಸುತ್ತಮುತ್ತ ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ಕೋಮು ಅಪರಾಧ ಹಾಟ್‌ಸ್ಪಾಟ್‌ಗಳನ್ನು ತೋರಿಸಿ,show_hotspots,Communal Offences,KR Market,last_30_days,kn
AG-07445,Which repeat offenders connect Unlawful Assembly cases in Yelahanka ?,investigate_network,Unlawful Assembly,Yelahanka,all,en
AG-08352,ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆದಲ್ಲಿ ಈ ವರ್ಷ ಸೈಬರ್ ಅಪರಾಧ ಆರೋಪಿ ಮತ್ತು ಎಫ್‌ಐಆರ್ ಜಾಲವನ್ನು ತೋರಿಸಿ,investigate_network,Cyber Crime,Bannerghatta Road,this_year,kn
AG-02024,ಕೆಆರ್ ಮಾರ್ಕೆಟ್ ಪ್ರದೇಶದ ಮಾದಕ ವಸ್ತು ಅಪರಾಧ ವರದಿಗಳನ್ನು ಈ ವರ್ಷ ಹುಡುಕಿ,search_cases,Narcotics,KR Market,this_year,kn
AG-05621,Investigate connected suspects in Fraud & Cheating cases near Rajajinagar last month,investigate_network,Fraud & Cheating,Rajajinagar,last_month,en
AG-06556,ಎಚ್‌ಎಸ್‌ಆರ್ ಲೇಔಟ್ ಸುತ್ತಮುತ್ತ ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ಕಾಣೆಯಾದ ವ್ಯಕ್ತಿಗಳು ಹಾಟ್‌ಸ್ಪಾಟ್‌ಗಳನ್ನು ತೋರಿಸಿ,show_hotspots,Missing Persons,HSR Layout,last_30_days,kn
AG-02244,ಮೈಸೂರು ರಸ್ತೆದಲ್ಲಿ ಇಂದು ಕಾಣೆಯಾದ ವ್ಯಕ್ತಿಗಳು ಪುನರಾವರ್ತಿತ ಆರೋಪಿಗಳ ಸಂಪರ್ಕ ಹುಡುಕಿ,investigate_network,Missing Persons,Mysuru Road,today,kn
AG-08100,ಮಾರತಹಳ್ಳಿದಲ್ಲಿ ಕೋಮು ಅಪರಾಧ ಪುನರಾವರ್ತಿತ ಆರೋಪಿಗಳ ಸಂಪರ್ಕ ಹುಡುಕಿ,investigate_network,Communal Offences,Marathahalli,all,kn
AG-01686,ರಾಜಾಜಿನಗರ ಪ್ರದೇಶದ ವಂಚನೆ ಮತ್ತು ಮೋಸ ಪ್ರಕರಣಗಳನ್ನು ಸಂಪರ್ಕಿಸುವ ಪುನರಾವರ್ತಿತ ಆರೋಪಿಗಳು ಯಾರು?,investigate_network,Fraud & Cheating,Rajajinagar,last_month,kn
AG-01022,ಎಚ್‌ಎಸ್‌ಆರ್ ಲೇಔಟ್ ಸಮೀಪದ ಕಾನೂನುಬಾಹಿರ ಸಭೆ ಎಫ್‌ಐಆರ್ ದಾಖಲೆಗಳನ್ನು ಈ ವಾರ ಹುಡುಕಿ,search_cases,Unlawful Assembly,HSR Layout,this_week,kn
AG-05440,ಬಿಟಿಎಂ ಲೇಔಟ್ದಲ್ಲಿ ಕಳೆದ ತಿಂಗಳು ಮಹಿಳಾ ಕಿರುಕುಳ ಅಪಾಯ ವಲಯಗಳನ್ನು ನಕ್ಷೆಯಲ್ಲಿ ತೋರಿಸಿ,show_hotspots,Eve Teasing,BTM Layout,last_month,kn
AG-08383,Show Cyber Crime cases in Yelahanka in the last 30 days,search_cases,Cyber Crime,Yelahanka,last_30_days,en
AG-06447,Which high-risk areas near MG Road have Property Theft this year?,show_hotspots,Property Theft,MG Road,this_year,en
AG-06837,Show Vehicle Theft hotspots around Basavanagudi,show_hotspots,Vehicle Theft,Basavanagudi,all,en
AG-05573,Find repeat accused links for Cyber Crime in Malleshwaram last month,investigate_network,Cyber Crime,Malleshwaram,last_month,en
AG-07136,ಜಯನಗರದಲ್ಲಿ ಇಂದು ನಡೆದ ವಾಹನ ಕಳ್ಳತನ ಪ್ರಕರಣಗಳನ್ನು ತೋರಿಸಿ,search_cases,Vehicle Theft,Jayanagar,today,kn
AG-00007,Show Narcotics cases in Mysuru Road last month,search_cases,Narcotics,Mysuru Road,last_month,en
AG-00177,Which high-risk areas near Whitefield have Narcotics last month?,show_hotspots,Narcotics,Whitefield,last_month,en
AG-01139,Show the accused and FIR network for Eve Teasing at Yeshwantpur in the last 30 days,investigate_network,Eve Teasing,Yeshwantpur,last_30_days,en
AG-03257,Investigate connected suspects in Assault & Violence cases near Silk Board,investigate_network,Assault & Violence,Silk Board,all,en
AG-06990,ಹೆಬ್ಬಾಳ ಸಮೀಪದ ಹಲ್ಲೆ ಮತ್ತು ಹಿಂಸಾಚಾರ ಪ್ರಕರಣಗಳ ಸಂಪರ್ಕಿತ ಶಂಕಿತರನ್ನು ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ಪರಿಶೀಲಿಸಿ,investigate_network,Assault & Violence,Hebbal,last_30_days,kn
AG-01362,ರಾಜಾಜಿನಗರ ಸಮೀಪದ ಕಾನೂನುಬಾಹಿರ ಸಭೆ ಪ್ರಕರಣಗಳ ಸಂಪರ್ಕಿತ ಶಂಕಿತರನ್ನು ಕಳೆದ ತಿಂಗಳು ಪರಿಶೀಲಿಸಿ,investigate_network,Unlawful Assembly,Rajajinagar,last_month,kn
AG-09368,ಎಂಜಿ ರಸ್ತೆದಲ್ಲಿ ಇಂದು ನಡೆದ ಮಾದಕ ವಸ್ತು ಅಪರಾಧ ಪ್ರಕರಣಗಳನ್ನು ತೋರಿಸಿ,search_cases,Narcotics,MG Road,today,kn
AG-03755,Find repeat accused links for Fraud & Cheating in HSR Layout last month,investigate_network,Fraud & Cheating,HSR Layout,last_month,en
AG-03387,Analyze hotspot evidence for Cyber Crime at KR Market,show_hotspots,Cyber Crime,KR Market,all,en
AG-01219,How many Property Theft incidents occurred at Yelahanka ?,search_cases,Property Theft,Yelahanka,all,en
AG-08134,ಕೋರಮಂಗಲ ಸಮೀಪ ಇಂದು ಮಹಿಳಾ ಕಿರುಕುಳ ಹೆಚ್ಚಿನ ಅಪಾಯದ ಪ್ರದೇಶಗಳು ಯಾವುವು?,show_hotspots,Eve Teasing,Koramangala,today,kn
AG-02313,Analyze hotspot evidence for Eve Teasing at Rajajinagar this year,show_hotspots,Eve Teasing,Rajajinagar,this_year,en
AG-07750,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಸಿಟಿ ಸಮೀಪ ಇಂದು ಮಹಿಳಾ ಕಿರುಕುಳ ಹೆಚ್ಚಿನ ಅಪಾಯದ ಪ್ರದೇಶಗಳು ಯಾವುವು?,show_hotspots,Eve Teasing,Electronic City,today,kn
AG-01936,ಜಯನಗರದಲ್ಲಿ ಇಂದು ಮಹಿಳಾ ಕಿರುಕುಳ ಅಪಾಯ ವಲಯಗಳನ್ನು ನಕ್ಷೆಯಲ್ಲಿ ತೋರಿಸಿ,show_hotspots,Eve Teasing,Jayanagar,today,kn
AG-04686,ಹೆಬ್ಬಾಳದಲ್ಲಿ ಕಳೆದ ತಿಂಗಳು ಮಾದಕ ವಸ್ತು ಅಪರಾಧ ಆರೋಪಿ ಮತ್ತು ಎಫ್‌ಐಆರ್ ಜಾಲವನ್ನು ತೋರಿಸಿ,investigate_network,Narcotics,Hebbal,last_month,kn
AG-05068,ಇಂದಿರಾನಗರ ಪ್ರದೇಶದ ವಂಚನೆ ಮತ್ತು ಮೋಸ ಹಾಟ್‌ಸ್ಪಾಟ್ ಸಾಕ್ಷ್ಯವನ್ನು ವಿಶ್ಲೇಷಿಸಿ,show_hotspots,Fraud & Cheating,Indiranagar,all,kn
AG-02445,Map danger zones for Assault & Violence in MG Road last month,show_hotspots,Assault & Violence,MG Road,last_month,en
AG-05158,ಜಯನಗರ ಸಮೀಪ ಈ ವಾರ ಕಾನೂನುಬಾಹಿರ ಸಭೆ ಹೆಚ್ಚಿನ ಅಪಾಯದ ಪ್ರದೇಶಗಳು ಯಾವುವು?,show_hotspots,Unlawful Assembly,Jayanagar,this_week,kn
AG-07267,How many Child Offences incidents occurred at Malleshwaram in the last 30 days?,search_cases,Child Offences,Malleshwaram,last_30_days,en
AG-07679,Investigate connected suspects in Property Theft cases near Indiranagar in the last 30 days,investigate_network,Property Theft,Indiranagar,last_30_days,en
AG-03413,Show the accused and FIR network for Land Disputes at HSR Layout today,investigate_network,Land Disputes,HSR Layout,today,en
AG-08803,How many Robbery & Dacoity incidents occurred at RT Nagar this year?,search_cases,Robbery & Dacoity,RT Nagar,this_year,en
AG-00907,Find FIR records for Domestic Violence near Yelahanka today,search_cases,Domestic Violence,Yelahanka,today,en
AG-00470,ಜಯನಗರ ಸಮೀಪದ ವಂಚನೆ ಮತ್ತು ಮೋಸ ಎಫ್‌ಐಆರ್ ದಾಖಲೆಗಳನ್ನು ಕಳೆದ ತಿಂಗಳು ಹುಡುಕಿ,search_cases,Fraud & Cheating,Jayanagar,last_month,kn
AG-06931,How many Communal Offences incidents occurred at BTM Layout this week?,search_cases,Communal Offences,BTM Layout,this_week,en
AG-03122,ಕೋರಮಂಗಲದಲ್ಲಿ ಎಷ್ಟು ಮಕ್ಕಳ ವಿರುದ್ಧದ ಅಪರಾಧ ಘಟನೆಗಳು ನಡೆದಿವೆ?,search_cases,Child Offences,Koramangala,all,kn
AG-09151,How many Murder incidents occurred at Bannerghatta Road in the last 30 days?,search_cases,Murder,Bannerghatta Road,last_30_days,en
AG-05710,ಸಿಲ್ಕ್ ಬೋರ್ಡ್ ಸಮೀಪ ಇಂದು ವಾಹನ ಕಳ್ಳತನ ಹೆಚ್ಚಿನ ಅಪಾಯದ ಪ್ರದೇಶಗಳು ಯಾವುವು?,show_hotspots,Vehicle Theft,Silk Board,today,kn
AG-09768,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಸಿಟಿ ಪ್ರದೇಶದ ಕೋಮು ಅಪರಾಧ ಪ್ರಕರಣಗಳನ್ನು ಸಂಪರ್ಕಿಸುವ ಪುನರಾವರ್ತಿತ ಆರೋಪಿಗಳು ಯಾರು?,investigate_network,Communal Offences,Electronic City,this_week,kn
AG-00081,Analyze hotspot evidence for Communal Offences at Malleshwaram in the last 30 days,show_hotspots,Communal Offences,Malleshwaram,last_30_days,en
AG-02345,Show the accused and FIR network for Property Theft at Whitefield,investigate_network,Property Theft,Whitefield,all,en
AG-04877,Which repeat offenders connect Missing Persons cases in KR Market last month?,investigate_network,Missing Persons,KR Market,last_month,en
AG-01131,Show Robbery & Dacoity hotspots around Indiranagar in the last 30 days,show_hotspots,Robbery & Dacoity,Indiranagar,last_30_days,en
AG-07127,Find repeat accused links for Missing Persons in HSR Layout this year,investigate_network,Missing Persons,HSR Layout,this_year,en
AG-06243,Which high-risk areas near Koramangala have Fraud & Cheating ?,show_hotspots,Fraud & Cheating,Koramangala,all,en
AG-08942,ಹೆಬ್ಬಾಳದಲ್ಲಿ ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ಎಷ್ಟು ಕಾಣೆಯಾದ ವ್ಯಕ್ತಿಗಳು ಘಟನೆಗಳು ನಡೆದಿವೆ?,search_cases,Missing Persons,Hebbal,last_30_days,kn
AG-05762,ಯಶವಂತಪುರ ಸಮೀಪದ ಮಾದಕ ವಸ್ತು ಅಪರಾಧ ಎಫ್‌ಐಆರ್ ದಾಖಲೆಗಳನ್ನು ಕಳೆದ ತಿಂಗಳು ಹುಡುಕಿ,search_cases,Narcotics,Yeshwantpur,last_month,kn
AG-01419,Map danger zones for Property Theft in Yelahanka in the last 30 days,show_hotspots,Property Theft,Yelahanka,last_30_days,en
AG-03492,ರಾಜಾಜಿನಗರ ಪ್ರದೇಶದ ಭೂ ವಿವಾದ ಪ್ರಕರಣಗಳನ್ನು ಸಂಪರ್ಕಿಸುವ ಪುನರಾವರ್ತಿತ ಆರೋಪಿಗಳು ಯಾರು?,investigate_network,Land Disputes,Rajajinagar,last_month,kn
AG-03808,ಮಾರತಹಳ್ಳಿ ಸುತ್ತಮುತ್ತ ಆಸ್ತಿ ಕಳ್ಳತನ ಹಾಟ್‌ಸ್ಪಾಟ್‌ಗಳನ್ನು ತೋರಿಸಿ,show_hotspots,Property Theft,Marathahalli,all,kn
AG-02832,ಆರ್‌ಟಿ ನಗರದಲ್ಲಿ ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ಭೂ ವಿವಾದ ಪುನರಾವರ್ತಿತ ಆರೋಪಿಗಳ ಸಂಪರ್ಕ ಹುಡುಕಿ,investigate_network,Land Disputes,RT Nagar,last_30_days,kn
AG-03037,Find FIR records for Robbery & Dacoity near Whitefield in the last 30 days,search_cases,Robbery & Dacoity,Whitefield,last_30_days,en
AG-03390,ಕೆಆರ್ ಮಾರ್ಕೆಟ್ದಲ್ಲಿ ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ಕಾನೂನುಬಾಹಿರ ಸಭೆ ಆರೋಪಿ ಮತ್ತು ಎಫ್‌ಐಆರ್ ಜಾಲವನ್ನು ತೋರಿಸಿ,investigate_network,Unlawful Assembly,KR Market,last_30_days,kn
AG-07427,Show the accused and FIR network for Domestic Violence at Mysuru Road in the last 30 days,investigate_network,Domestic Violence,Mysuru Road,last_30_days,en
AG-04334,ಮಾರತಹಳ್ಳಿ ಸಮೀಪದ ಕಾಣೆಯಾದ ವ್ಯಕ್ತಿಗಳು ಎಫ್‌ಐಆರ್ ದಾಖಲೆಗಳನ್ನು ಈ ವರ್ಷ ಹುಡುಕಿ,search_cases,Missing Persons,Marathahalli,this_year,kn
AG-09821,Show the accused and FIR network for Murder at HSR Layout last month,investigate_network,Murder,HSR Layout,last_month,en
AG-02182,ಎಂಜಿ ರಸ್ತೆ ಪ್ರದೇಶದ ಕಾನೂನುಬಾಹಿರ ಸಭೆ ಹಾಟ್‌ಸ್ಪಾಟ್ ಸಾಕ್ಷ್ಯವನ್ನು ಕಳೆದ 30 ದಿನಗಳಲ್ಲಿ ವಿಶ್ಲೇಷಿಸಿ,show_hotspots,Unlawful Assembly,MG Road,last_30_days,kn
AG-07301,Which repeat offenders connect Vehicle Theft cases in Rajajinagar this week?,investigate_network,Vehicle Theft,Rajajinagar,this_week,en
AG-00843,Show Land Disputes hotspots around Koramangala this year,show_hotspots,Land Disputes,Koramangala,this_year,en
AG-08211,Show Property Theft hotspots around Mysuru Road today,show_hotspots,Property Theft,Mysuru Road,today,en
AG-00919,Show Land Disputes cases in HSR Layout,search_cases,Land Disputes,HSR Layout,all,en
AG-09507,Analyze hotspot evidence for Missing Persons at Indiranagar,show_hotspots,Missing Persons,Indiranagar,all,en
AG-05748,ಮೈಸೂರು ರಸ್ತೆ ಸಮೀಪದ ಭೂ ವಿವಾದ ಪ್ರಕರಣಗಳ ಸಂಪರ್ಕಿತ ಶಂಕಿತರನ್ನು ಪರಿಶೀಲಿಸಿ,investigate_network,Land Disputes,Mysuru Road,all,kn
AG-04034,ರಾಜಾಜಿನಗರದಲ್ಲಿ ಈ ವಾರ ನಡೆದ ಆಸ್ತಿ ಕಳ್ಳತನ ಪ್ರಕರಣಗಳನ್ನು ತೋರಿಸಿ,search_cases,Property Theft,Rajajinagar,this_week,kn
AG-01567,Show Vehicle Theft cases in Jayanagar in the last 30 days,search_cases,Vehicle Theft,Jayanagar,last_30_days,en
AG-04865,Which repeat offenders connect Narcotics cases in Rajajinagar this week?,investigate_network,Narcotics,Rajajinagar,this_week,en
AG-09273,Map danger zones for Robbery & Dacoity in Rajajinagar this week,show_hotspots,Robbery & Dacoity,Rajajinagar,this_week,en
AG-08021,Find repeat accused links for Land Disputes in Jayanagar today,investigate_network,Land Disputes,Jayanagar,today,en
AG-09189,Analyze hotspot evidence for Unlawful Assembly at RT Nagar this week,show_hotspots,Unlawful Assembly,RT Nagar,this_week,en
AG-08644,ಬಿಟಿಎಂ ಲೇಔಟ್ ಪ್ರದೇಶದ ಸೈಬರ್ ಅಪರಾಧ ಹಾಟ್‌ಸ್ಪಾಟ್ ಸಾಕ್ಷ್ಯವನ್ನು ಈ ವಾರ ವಿಶ್ಲೇಷಿಸಿ,show_hotspots,Cyber Crime,BTM Layout,this_week,kn
AG-08908,ಕೆಆರ್ ಮಾರ್ಕೆಟ್ದಲ್ಲಿ ಕಳೆದ ತಿಂಗಳು ದರೋಡೆ ಮತ್ತು ಡಕಾಯಿತಿ ಅಪಾಯ ವಲಯಗಳನ್ನು ನಕ್ಷೆಯಲ್ಲಿ ತೋರಿಸಿ,show_hotspots,Robbery & Dacoity,KR Market,last_month,kn
AG-07101,Map danger zones for Murder in Bannerghatta Road,show_hotspots,Murder,Bannerghatta Road,all,en
AG-01698,ಆರ್‌ಟಿ ನಗರ ಪ್ರದೇಶದ ಮಾದಕ ವಸ್ತು ಅಪರಾಧ ಪ್ರಕರಣಗಳನ್ನು ಸಂಪರ್ಕಿಸುವ ಪುನರಾವರ್ತಿತ ಆರೋಪಿಗಳು ಯಾರು?,investigate_network,Narcotics,RT Nagar,last_30_days,kn
AG-07661,Show the accused and FIR network for Murder at HSR Layout,investigate_network,Murder,HSR Layout,all,en
AG-01084,ಸಿಲ್ಕ್ ಬೋರ್ಡ್ ಸಮೀಪ ಕಳೆದ ತಿಂಗಳು ಮಾದಕ ವಸ್ತು ಅಪರಾಧ ಹೆಚ್ಚಿನ ಅಪಾಯದ ಪ್ರದೇಶಗಳು ಯಾವುವು?,show_hotspots,Narcotics,Silk Board,last_month,kn
AG-09359,Show the accused and FIR network for Robbery & Dacoity at Bannerghatta Road this year,investigate_network,Robbery & Dacoity,Bannerghatta Road,this_year,en
AG-06292,ಸಿಲ್ಕ್ ಬೋರ್ಡ್ ಸಮೀಪ ಕೌಟುಂಬಿಕ ಹಿಂಸಾಚಾರ ಹೆಚ್ಚಿನ ಅಪಾಯದ ಪ್ರದೇಶಗಳು ಯಾವುವು?,show_hotspots,Domestic Violence,Silk Board,all,kn
AG-02540,ರಾಜಾಜಿನಗರ ಸಮೀಪದ ಮಕ್ಕಳ ವಿರುದ್ಧದ ಅಪರಾಧ ಎಫ್‌ಐಆರ್ ದಾಖಲೆಗಳನ್ನು ಹುಡುಕಿ,search_cases,Child Offences,Rajajinagar,all,kn
